Candidatos|Votos|Porcentaje
CRUZ  FIGUEROA  CYNTIA| 1,973|  0.17
ARANEDA  NAVARRO  JORGE EDUARDO| 1,959|  0.16
CAPETILLO  CARDENAS  MIKEL GOTZON| 1,953|  0.16
JARA  JONES  CLAUDIO ANTONIO| 1,951|  0.16
JARA  ARANEDA  JAIME| 1,948|  0.16
SAN CRISTOBAL  SILVA  ANGELICA| 1,945|  0.16
RIVAS  ANDRADE  JUAN EDUARDO JESUS| 1,932|  0.16
AGUERO  FLORES  MIREYA ALEJANDRA| 1,930|  0.16
TORO  CUEVAS  MABEL| 1,895|  0.16
CASTILLO  MORENO  HELMITA MARIA ADRIANA| 1,890|  0.16
YAÑEZ  BENAVENTE  FRANCISCO ALEJANDRO| 1,868|  0.16
PINO  SEGUEL  HERNAN ORLANDO| 1,835|  0.15
PEZO  DALMAZO  JUAN PABLO| 1,826|  0.15
SAEZ  TORRES  ANGELA| 1,796|  0.15
ALVAREZ  OLAVE  KATHERINE ANDREA| 1,765|  0.15
ACUÑA  MUÑOZ  ANDREA NICOLE| 1,756|  0.15
MARTINEZ  STENGER  RUBEN| 1,742|  0.15
GRANDON  LAGUNAS  HECTOR EDUARDO| 1,737|  0.15
FIGUEROA  SAEZ  JORGE ANTONIO| 1,735|  0.15
ESPINOZA  CAMPOS  JAVIERA KONSTANZA| 1,721|  0.14
TORRES  CORREA  MYRIAM ELIZABETH| 1,698|  0.14
CARVAJAL  SANHUEZA  PEDRO DAVID| 1,691|  0.14
MUÑOZ  RAMOS  CLAUDIA| 1,674|  0.14
SAEZ  YANTEN  DANIEL| 1,670|  0.14
ZUÑIGA  MUÑOZ  PAOLA ANDREA VIRGINIA| 1,657|  0.14
ORMEÑO  CARVALLO  AURELIA DEL CARMEN| 1,649|  0.14
CABRERA  VALDEBENITO  KARINA EMILIA| 1,645|  0.14
ZEPEDA  NOVOA  PIA| 1,626|  0.14
CEBALLOS  SANTIBAÑEZ  CARLA JAZMINA| 1,617|  0.14
