Candidatos|Votos|Porcentaje
HUKI  CUADROS  NINOSKA| 733|  0.05
GENERAL  VIVAR  MIGUEL DEL TRANSITO| 716|  0.05
MOREIRA  BARRERA  ANGEL| 608|  0.04
RAPU  ZAMORA  ANNETTE IVONNE| 494|  0.03
LUCERO  TEAO  MAHINA| 323|  0.02
RIROROCO  PAKARATI  TAI| 314|  0.02
ATAN  RODRIGUEZ  INES| 308|  0.02
Válidamente Emitidos| 1,064,899| 74.68
 Votos Nulos| 213,744| 14.99
 Votos Blanco| 147,379| 10.33
 Total| 1,426,022| 100.0
 
