Candidatos|Votos|Porcentaje
MARINOVIC  MARINOVIC  DARKO HUMBERTO| 235|  0.11
BRAVO  MORALES  OSVALDO| 217|  0.1
ORTIZ  ROJAS  AMELIA| 217|  0.1
PEREZ  GALLARDO  ADAN RICARDO| 208|  0.1
SANTELICES  LAGOS  CARLOS EDUARDO| 203|  0.1
SANCHEZ  CHAU  JORGE| 194|  0.09
CASTRO  PEREZ  DIETER| 187|  0.09
ROMAN  GARNETT  IRMA DEL CARMEN| 185|  0.09
RODRIGUEZ  ARGOTE  JOSE LUIS| 150|  0.07
MIRANDA  MESIAS  RODOLFO FABIAN| 143|  0.07
QUINTANILLA  CORTES  DARIO HUMBERTO| 133|  0.06
UGARTE  ESCOBEDO  ANDRES| 126|  0.06
Válidamente Emitidos| 156,776| 75.38
 Votos Nulos| 29,317| 14.1
 Votos Blanco| 21,884| 10.52
 Total| 207,977| 100.0
 
