Candidatos|Votos|Porcentaje
LARA  LARA  JOSE OMAR| 1,104|  0.14
SEPULVEDA  CABRERA  RICARDO ANTONIO| 1,097|  0.14
PROVOSTE  MONTIEL  MIGUEL ANGEL| 1,094|  0.14
MENDEZ  CANAVES  JESSICA ALEJANDRA| 1,059|  0.14
REYES  DIAZ  ALEJANDRO RODOLFO| 1,057|  0.14
ALVAREZ  OTERO  RODRIGO| 1,032|  0.14
ROMERO  FUENTES  JORGE CESAR| 995|  0.13
MELLA  PADILLA  MATTIAS| 995|  0.13
TORRES  PATIÑO  MARCOS ALEJANDRO| 983|  0.13
MAUREIRA  CACERES  ROXANA PAOLA| 973|  0.13
ANTILEO  MELLA  KIRIA GLADYS| 943|  0.12
CARDENAS  PAREDES  PATRICIA JULIETA| 931|  0.12
CARRASCO  RIVERA  CECIA NERY| 915|  0.12
PIZARRO  JIMENEZ  RICARDO OMAR| 914|  0.12
OCHARAN  TORRE  FELIPE ALONSO| 896|  0.12
FAJRE  DIAZ  MARCO ANTONIO| 865|  0.11
SANCHEZ  CARRASCO  ALBERT AQUILES| 792|  0.1
MARTINEZ  PEZO  LUIS IVAN| 775|  0.1
MARINGER  SANCHEZ  RODRIGO| 730|  0.1
FIGUEROA  LAGOS  EDWIN DANTE| 653|  0.09
JARA  MARTINEZ  JOSE ANDRES| 572|  0.07
VACCARO  VEGA  CARLOS IGNACIO LEONARDO| 564|  0.07
ARAYA  REICHE  JOSE SANTIAGO| 551|  0.07
ABDALA  SEPULVEDA  PATRICIO BERTRAND| 529|  0.07
HIDALGO  VELOSO  DANIEL ABRAHAM| 497|  0.07
Válidamente Emitidos| 562,655| 73.74
 Votos Nulos| 100,088| 13.12
 Votos Blanco| 100,235| 13.14
 Total| 762,978| 100.0
 
