Candidatos|Votos|Porcentaje
VALENZUELA  VALENZUELA  MAURICIO| 3,552|  0.07
AVENDAÑO  UNDURRAGA  GINO RODOLFO| 3,517|  0.07
MAZZACHIODI  MATAMALA  ROMINA| 3,465|  0.07
SALINAS  GARCIA  ALONSO IGNACIO| 3,350|  0.07
MEDINA  CAMPOS  ENRIQUE| 3,303|  0.07
BALMACEDA  ARAYA  NIXON JEAN PIERRE| 3,263|  0.06
LINARES  OYARCE  VERONICA ISABEL| 3,233|  0.06
SANCHEZ  ORELLANA  DANIEL ALEJANDRO| 3,222|  0.06
GOMEZ  FUENTEALBA  CARLOS DAMIAN| 3,213|  0.06
PACHECO  GAVILAN  JESUS EDUARDO| 3,201|  0.06
VIGNER  CASTRO  EMILIO| 3,121|  0.06
PASCUAL  RODRIGUEZ  SARA| 3,120|  0.06
OMEROVICH  CONCHA  SERVANDO ENRIQUE| 3,085|  0.06
NABALON  SALAZAR  MARIA EUGENIA| 3,048|  0.06
DONOSO  VARAS  MAURICIO ESTEBAN| 3,047|  0.06
NEGRON  MACIAS  GERARDO LUIS| 2,961|  0.06
ALISTE  ALVAREZ  MARIANO ANDRES| 2,940|  0.06
VASQUEZ  CIRES  CECILIA IVONNE| 2,927|  0.06
ROJAS  MEZA  JORGE ENRIQUE| 2,888|  0.06
CAMPAÑA  BRAVO  ALEXIS| 2,845|  0.06
GONZALEZ  SANTANDER  GABRIEL PATRICIO| 2,828|  0.06
QUIROZ  ARRIAGADA  GONZALO PATRICIO| 2,777|  0.06
RAMIREZ  CABA  JACOB JONATHAN| 2,740|  0.05
MOYA  TRUJILLO  ALEJANDRO ANDRES| 2,677|  0.05
PINOCHET  CAVIERES  RAFAEL PATRICIO| 2,565|  0.05
SALDIAS  ROA  EFRAIN MIGUEL| 2,551|  0.05
GODOY  LUCERO  FLOR FRANCISCA| 2,543|  0.05
ALARCON  BORQUEZ  JACQUELINE PATRICIA| 2,530|  0.05
ESPINOSA  ALARCON  FELIPE ANDRES| 2,528|  0.05
CORTEZ  DIAZ  MARIA JOSE| 2,513|  0.05
CARRASCO  VILLEGAS  EDISON LEBRACK| 2,477|  0.05
GALARCE  PARDO  SEBASTIAN OSVALDO| 2,433|  0.05
ECHEVERRIA  MADRID  MIGUEL ANGEL| 2,398|  0.05
MONDACA  CRESTTO  GREGORIO LUIS| 2,362|  0.05
MARTELL  NARANJO  MARIO PATRICIO| 2,314|  0.05
MORENO  ZAMORANO  JUAN JOSE| 2,273|  0.05
MEDINA  JARA  ALVARO FABIAN| 2,260|  0.04
MARDONES  DIAZ  CRISTOBAL EDUARDO| 2,251|  0.04
CARRASCO  VILLEGAS  ERIC ROBINSON| 2,099|  0.04
HERNANDEZ  TORRES  ELIAS ALBERTO| 1,981|  0.04
ORTEGA  RUBIO  MIGUEL ALFREDO| 1,930|  0.04
RIVERA  PIÑEDA  CARLOS ALBERTO| 1,912|  0.04
PONCE  SEPULVEDA  MARIO ANTONIO| 1,910|  0.04
GUZMAN  ACOSTA  LUIS| 1,897|  0.04
MUÑOZ  LATORRE  JORGE ROBERTO| 1,892|  0.04
TAPIA  SALGADO  JUAN JOSE MIGUEL| 1,838|  0.04
RIOS  PUEBLA  JONATHAN ARTURO| 1,811|  0.04
AGUIRRE  AGUIRRE  RAMON ALEJANDRO| 1,756|  0.03
HIRIART  BERTRAND  MARTIN FRANCISCO| 1,677|  0.03
RIVERA  GARRIDO  ENRIQUE MARCELINO| 1,670|  0.03
SUAREZ  CARVAJAL  DANIEL IGNACIO| 1,637|  0.03
MAURER  AVENDAÑO  GABRIEL IGNACIO| 1,576|  0.03
COMAS  LOBATO  RODRIGO ANDRES| 1,460|  0.03
ANTEQUERA  ITURRALDE  LUIS RODRIGO| 1,457|  0.03
CHIA  BEAS  KAIMIN EUGENIO| 1,434|  0.03
CERDA  MESA  ANGELO ALIRO| 1,429|  0.03
WILDEN  ACOSTA  JAVIER IGNACIO| 1,418|  0.03
MEDINA  AGUAYO  JOSE EDUARDO| 1,287|  0.03
ASTORGA  MARQUEZ  AARON FELIPE| 1,000|  0.02
DE LA NOI  SIMONELLI  VICENTE IGNACIO| 928|  0.02
Válidamente Emitidos| 3,772,620| 74.81
 Votos Nulos| 748,914| 14.85
 Votos Blanco| 521,337| 10.34
 Total| 5,042,871| 100.0
 
