Candidatos|Votos|Porcentaje
ARRIAGADA  MEDINA  ERICK MAURICIO| 1,127|  0.15
ALVARADO  MONTES  RUTH| 1,125|  0.15
CORTINEZ  PARADA  MARCOS RODRIGO| 1,119|  0.15
CHANDIA  PARRA  FIDEL| 1,059|  0.14
TORO  ARANDA  JORGE ANTONIO| 1,036|  0.14
ORTEGA  AEDO  CARLOS ENRIQUE| 1,024|  0.14
FLORES  CANALES  OMAR| 1,023|  0.14
PALMA  FAUNE  JORGE| 1,003|  0.13
BARAHONA  FRANCO  HUGO ALFREDO| 950|  0.13
ABARCA  DEL PINO  DIEGO FABIAN| 937|  0.13
JARAMILLO  VIDAL  SUSY EDITH| 922|  0.12
AVILA  AVILA  GABRIEL ANTONIO| 876|  0.12
SANCHEZ  PINO  LEANDRO ANDRES| 774|  0.1
URZUA  ACEVEDO  MARIA FRANCISCA| 764|  0.1
GONZALEZ  GUTIERREZ  CRISTIAN| 748|  0.1
TORO  ROMERO  CRISTIAN HERNAN| 663|  0.09
LETELIER  CONTRERAS  OLIVER| 647|  0.09
VARELA  MORALES  GRACIA| 624|  0.08
GONZALEZ  PEREIRA  ALEXIS EDUARDO| 619|  0.08
ARENAS  LIRA  ROBERTO ANTONIO| 562|  0.08
LOPEZ  TORO  MARIO IGNACIO| 445|  0.06
SEPULVEDA  SEPULVEDA  NESTOR GERMAN| 373|  0.05
AGUILERA  SILVA  BETSABE AURISTELA| 372|  0.05
MERIÑO  MONTERO  IGNACIO ANTONIO| 350|  0.05
Válidamente Emitidos| 543,417| 73.03
 Votos Nulos| 109,049| 14.66
 Votos Blanco| 91,628| 12.31
 Total| 744,094| 100.0
 
